0, 1635066529897812, 1635066529898725, 913
1, 1635066529919438, 1635066529926671, 7233
2, 1635066529947486, 1635066529967032, 19546
3, 1635066529989651, 1635066530006686, 17035
4, 1635066530022165, 1635066530039189, 17024
5, 1635066530058488, 1635066530070680, 12192
6, 1635066530101691, 1635066530110847, 9156
7, 1635066530137511, 1635066530152301, 14790
8, 1635066530174725, 1635066530194570, 19845
9, 1635066530209516, 1635066530223093, 13577
10, 1635066530250431, 1635066530264163, 13732
11, 1635066530283161, 1635066530300534, 17373
12, 1635066530325662, 1635066530342603, 16941
13, 1635066530379139, 1635066530395352, 16213
14, 1635066530421134, 1635066530431026, 9892
15, 1635066530470414, 1635066530479297, 8883
16, 1635066530482477, 1635066530499350, 16873
17, 1635066530513509, 1635066530539566, 26057
18, 1635066530538918, 1635066530566629, 27711
19, 1635066530554471, 1635066530595274, 40803
20, 1635066530584958, 1635066530640881, 55923
21, 1635066530601881, 1635066530668654, 66773
22, 1635066530637563, 1635066530710347, 72784
23, 1635066530659077, 1635066530746557, 87480
24, 1635066530695389, 1635066530792151, 96762
25, 1635066530737474, 1635066530846236, 108762
26, 1635066530778439, 1635066530881337, 102898
27, 1635066530819502, 1635066530919840, 100338
28, 1635066530863143, 1635066530946353, 83210
