0, 1683724106360826, 1683724106360898, 72
1, 1683724106380980, 1683724106380982, 2
2, 1683724106393983, 1683724106393987, 4
3, 1683724106408703, 1683724106408706, 3
4, 1683724106423947, 1683724106423953, 6
5, 1683724106439184, 1683724106439186, 2
6, 1683724106453924, 1683724106453929, 5
7, 1683724106468658, 1683724106468663, 5
8, 1683724106483370, 1683724106483375, 5
9, 1683724106498580, 1683724106498585, 5
10, 1683724106513331, 1683724106513332, 1
11, 1683724106528489, 1683724106528494, 5
12, 1683724106543686, 1683724106543688, 2
13, 1683724106558399, 1683724106558402, 3
14, 1683724106573604, 1683724106573607, 3
15, 1683724106588843, 1683724106588845, 2
16, 1683724106603564, 1683724106603570, 6
17, 1683724106618824, 1683724106618828, 4
18, 1683724106634052, 1683724106634054, 2
19, 1683724106648782, 1683724106648788, 6
20, 1683724106663536, 1683724106663541, 5
21, 1683724106678746, 1683724106678751, 5
22, 1683724106693498, 1683724106693500, 2
23, 1683724106708256, 1683724106708263, 7
24, 1683724106722987, 1683724106722990, 3
25, 1683724106738217, 1683724106738222, 5
26, 1683724106752942, 1683724106752944, 2
27, 1683724106768203, 1683724106768204, 1
28, 1683724106782961, 1683724106782965, 4
29, 1683724106797702, 1683724106797708, 6
30, 1683724106812455, 1683724106812457, 2
31, 1683724106827185, 1683724106827189, 4
32, 1683724106841992, 1683724106841994, 2
33, 1683724106856724, 1683724106856726, 2
34, 1683724106871484, 1683724106871489, 5
35, 1683724106886214, 1683724106886216, 2
36, 1683724106900968, 1683724106900971, 3
37, 1683724106916177, 1683724106916181, 4
38, 1683724106930905, 1683724106930910, 5
39, 1683724106945662, 1683724106945666, 4
40, 1683724106960395, 1683724106960396, 1
41, 1683724106975701, 1683724106975708, 7
42, 1683724106991039, 1683724106991040, 1
43, 1683724107005861, 1683724107005864, 3
44, 1683724107021218, 1683724107021219, 1
45, 1683724107036040, 1683724107036041, 1
46, 1683724107050881, 1683724107050882, 1
